2025-12-15 15:42:49 - Starter tidsstyret app-kontrol...
DEBUG: CURRENT=15:42, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:43, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:43, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:44, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:44, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:45, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:45, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:46, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:46, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:47, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:47, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:48, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:48, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:49, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:50, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:51, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:52, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:52, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:53, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:53, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:54, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:54, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:55, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:55, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:56, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=15:56, START_TIME=9:00, STOP_TIME=17:00
2025-12-16 09:06:55 - Starter tidsstyret app-kontrol...
DEBUG: CURRENT=09:06, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:07, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:07, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:08, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:08, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:09, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:09, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:10, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:10, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:11, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:11, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:12, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:12, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:13, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:13, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:14, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:14, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:15, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:15, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=09:16, START_TIME=9:00, STOP_TIME=17:00
